Type,TechName,TargetVersion,Status
Class,QTD_GreatSage,V0.1,spec-ready
Resource,QTD_SageQi,V0.1,toolkit-definition-ready
Passive,QTD_Passive_MonkeyAgility,V0.1,stats-draft
Passive,QTD_Passive_RuyiMastery,V0.1,stats-draft
Passive,QTD_Passive_CopperHeadIronArm,V0.1,stats-draft
Passive,QTD_Passive_ExtraAttack,V0.1,spec-ready
Spell,Target_QTD_SomersaultCloud,V0.1,parent-aligned-draft
Spell,Zone_QTD_SeaCalmingStrike,V0.1,verified-functor-draft
Spell,Target_QTD_FieryGoldenEyes,V0.1,stats-draft
Item,WPN_QTD_RuyiJinguBang,V0.1,stats-draft
Item,ARM_QTD_GoldenArmor,V0.1,stats-draft
Item,BOOTS_QTD_CloudWalking,V0.1,stats-draft
Equipment,EQP_CC_QTD_GreatSage,V0.1,toolkit-definition-ready
Passive,QTD_Passive_GreatSageEvasion,V0.2,base-passive-aligned
Passive,QTD_Passive_DiamondBody,V0.2,verified-boost-draft
Feature,QTD_SeventyTwoTransformations,V0.2,container-wired-draft
SpellContainer,QTD_TransformContainer,V0.2,container-wired-draft
Transform,QTD_Transform_Insect,V0.2,container-wired-draft
Status,QTD_POLYMORPH_INSECT,V0.2,base-chain-aligned
Transform,QTD_Transform_Eagle,V0.2,container-wired-draft
Status,QTD_POLYMORPH_EAGLE,V0.2,base-chain-aligned
Transform,QTD_Transform_Tiger,V0.2,container-wired-draft
Status,QTD_POLYMORPH_TIGER,V0.2,base-chain-aligned
Passive,QTD_Passive_TransformUnlock_L3,V0.2,container-wired-draft
Passive,QTD_Passive_TransformUnlock_L5,V0.2,container-wired-draft
Feature,QTD_HairClones,V0.2,level-scaling-weapon-draft
Spell,Target_QTD_HairClones,V0.2,level-scaling-weapon-draft
Status,QTD_STATUS_HAIR_CLONE,V0.2,summon-functor-draft
Status,QTD_STATUS_HAIR_CLONES_ACTIVE,V0.2,mutual-exclusion-marker-draft
Character,QTD_HairCloneCharacter_L6,V0.2,level-scaling-draft
Character,QTD_HairCloneCharacter_L8,V0.2,level-scaling-draft
Character,QTD_HairCloneCharacter_L10,V0.2,level-scaling-draft
Character,QTD_HairCloneCharacter_L12,V0.2,level-scaling-draft
Weapon,WPN_QTD_HairCloneStaff,V0.2,level-scaling-weapon-draft
RootTemplate,QTD_HairCloneStaff_Root,V0.2,toolkit-object-pending
RootTemplate,QTD_HairClone_Root_L6,V0.2,toolkit-object-pending
RootTemplate,QTD_HairClone_Root_L8,V0.2,toolkit-object-pending
RootTemplate,QTD_HairClone_Root_L10,V0.2,toolkit-object-pending
RootTemplate,QTD_HairClone_Root_L12,V0.2,toolkit-object-pending
Feature,QTD_ThreeHeadsSixArms,V0.3,active-status-draft
Passive,QTD_Passive_ThreeHeadsSixArms,V0.3,unlock-passive-draft
Spell,Shout_QTD_ThreeHeadsSixArms,V0.3,verified-applystatus-draft
Status,QTD_STATUS_THREE_HEADS_SIX_ARMS,V0.3,extraattack2-status-draft
Feature,QTD_FaTianXiangDi,V0.4,active-giant-form-draft
Passive,QTD_Passive_FaTianXiangDi,V0.4,unlock-passive-draft
Spell,Shout_QTD_FaTianXiangDi,V0.4,active-form-spell-draft
Status,QTD_STATUS_FATIAN_XIANG_DI,V0.4,enlarge-aligned-giant-status-draft
Status,QTD_STATUS_FATIAN_USED,V0.4,long-rest-marker-draft
Spell,Zone_QTD_FaTian_Quake,V0.4,thunderwave-aligned-draft
Spell,Zone_QTD_FaTian_Sweep,V0.4,cleave-aligned-draft
Spell,Target_QTD_FaTian_Pillar,V0.4,mainhand-attack-aligned-draft
Feature,QTD_QitianDasheng,V1.0,capstone-passive-draft
Passive,QTD_Passive_QitianDasheng,V1.0,verified-boost-pattern-draft
